car_id,car_type,vehicle_type,age_years,model_year,model_month,age_string,first_date,last_date,collection_period,efficiency,efficiency_score,avg_temperature,temperature_score,cell_imbalance,cell_imbalance_score,driving_habit_score,charging_count,avg_charging_amount,charging_pattern_score,weighted_avg,age_penalty,final_score
M1200607127,UNKNOWN,중형,4.92,2021.0,1.0,2021.01,2021-10-06T15:01:52+00:00,2021-10-06T15:08:01+00:00,2021.10.06 ~ 2021.10.06,1.0,40.0,24.75,100.0,0.0047,97.85,90.0,,,80.0,74.64,5.4,69.24
M1200607141,UNKNOWN,중형,4.92,2021.0,1.0,2021.01,2021-10-06T14:59:41+00:00,2021-10-06T15:13:38+00:00,2021.10.06 ~ 2021.10.06,1.35,40.0,21.25,100.0,0.0167,69.5,90.0,,,80.0,69.92,5.4,64.52
M1200607171,UNKNOWN,중형,4.92,2021.0,1.0,2021.01,2021-10-06T15:10:08+00:00,2021-10-12T14:49:17+00:00,2021.10.06 ~ 2021.10.12,0.62,40.0,24.51,100.0,0.0083,94.96,90.0,1.0,51.5,100.0,77.49,5.4,72.09
M2210703769,UNKNOWN,중형,4.92,2021.0,1.0,2021.01,2021-10-13T23:14:19+00:00,2021-10-13T23:14:19+00:00,2021.10.13 ~ 2021.10.13,,0.0,25.25,100.0,0.02,50.0,80.0,,,80.0,51.67,5.4,46.27
M2210703805,UNKNOWN,중형,4.92,2021.0,1.0,2021.01,2021-11-25T10:02:13+00:00,2021-11-25T10:03:23+00:00,2021.11.25 ~ 2021.11.25,,0.0,19.0,100.0,0.0175,65.14,90.0,,,80.0,55.86,5.4,50.46
M2210703941,UNKNOWN,중형,4.92,2021.0,1.0,2021.01,2021-11-24T13:48:30+00:00,2021-11-24T15:18:42+00:00,2021.11.24 ~ 2021.11.24,0.01,40.0,21.01,100.0,0.0093,93.53,76.94,,,80.0,71.74,5.4,66.34
