car_id,car_type,vehicle_type,age_years,model_year,model_month,age_string,first_date,last_date,collection_period,efficiency,efficiency_score,avg_temperature,temperature_score,cell_imbalance,cell_imbalance_score,driving_habit_score,charging_count,avg_charging_amount,charging_pattern_score,weighted_avg,age_penalty,final_score
M1200607419,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-20T08:09:49+00:00,2021-12-08T18:03:41+00:00,2021.10.20 ~ 2021.12.08,3.77,54.59,17.0,100.0,0.0101,92.31,90.0,384.0,1.9,92.58,80.68,5.4,75.28
M1200607422,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-09-07T13:26:58+00:00,2021-12-08T17:39:48+00:00,2021.09.07 ~ 2021.12.08,2.68,40.0,10.66,100.0,0.0127,86.07,90.0,211.0,1.0,83.65,73.29,5.4,67.89
M1200607423,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T15:04:07+00:00,2021-12-08T23:52:48+00:00,2021.10.13 ~ 2021.12.08,3.59,51.89,15.55,100.0,0.0086,94.54,90.0,492.0,1.7,94.92,80.54,5.4,75.14
M1200607425,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T14:23:18+00:00,2021-11-24T22:22:20+00:00,2021.10.13 ~ 2021.11.24,3.23,46.48,12.05,100.0,0.0098,92.76,90.0,43.0,8.7,86.05,76.96,5.4,71.56
M1200607426,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-14T17:58:58+00:00,2021-12-08T19:22:46+00:00,2021.10.14 ~ 2021.12.08,3.11,44.71,15.82,100.0,0.013,85.06,90.0,507.0,1.7,86.29,75.13,5.4,69.73
M1200607427,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-15T08:07:22+00:00,2021-12-08T18:25:37+00:00,2021.10.15 ~ 2021.12.08,3.33,47.97,12.98,100.0,0.0118,88.56,90.0,450.0,1.5,95.78,78.38,5.4,72.98
M1200607428,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-14T16:40:37+00:00,2021-11-28T12:52:46+00:00,2021.10.14 ~ 2021.11.28,3.17,45.54,17.76,100.0,0.0107,91.17,90.0,97.0,2.9,79.9,75.36,5.4,69.96
M1200607429,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-15T17:03:06+00:00,2021-12-08T14:45:16+00:00,2021.10.15 ~ 2021.12.08,2.93,42.0,16.59,100.0,0.008,95.29,90.0,31.0,4.1,87.1,76.06,5.4,70.66
M1200607431,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-09-04T21:06:14+00:00,2021-12-08T22:37:36+00:00,2021.09.04 ~ 2021.12.08,3.62,52.33,13.36,100.0,0.0174,65.57,90.0,797.0,1.3,97.55,76.3,5.4,70.9
M1200607432,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-16T14:51:58+00:00,2021-12-08T18:19:15+00:00,2021.10.16 ~ 2021.12.08,3.91,56.72,14.88,100.0,0.0095,93.29,90.0,402.0,1.5,92.29,81.5,5.4,76.1
M1200607434,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-22T07:27:50+00:00,2021-12-08T18:52:13+00:00,2021.10.22 ~ 2021.12.08,1.85,40.0,11.51,100.0,0.0114,89.58,90.0,318.0,1.2,95.91,75.91,5.4,70.51
M1200607436,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T14:35:17+00:00,2021-12-08T17:44:28+00:00,2021.10.13 ~ 2021.12.08,2.47,40.0,13.24,100.0,0.0103,91.9,87.5,41.0,4.4,86.59,74.33,5.4,68.93
M1200607438,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T17:20:43+00:00,2021-12-08T18:28:47+00:00,2021.10.13 ~ 2021.12.08,1.96,40.0,12.3,100.0,0.009,94.03,90.0,71.0,1.2,85.92,74.99,5.4,69.59
M1200607439,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-11-11T09:13:37+00:00,2021-12-08T16:45:25+00:00,2021.11.11 ~ 2021.12.08,2.08,40.0,13.42,100.0,0.0111,90.33,90.0,149.0,0.5,84.9,74.21,5.4,68.81
M1200607440,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-20T14:05:28+00:00,2021-12-08T18:37:49+00:00,2021.10.20 ~ 2021.12.08,2.31,40.0,13.47,100.0,0.0095,93.21,90.0,62.0,2.2,83.87,74.51,5.4,69.11
M1200607441,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-14T08:58:28+00:00,2021-12-08T18:24:29+00:00,2021.10.14 ~ 2021.12.08,2.84,40.6,11.66,100.0,0.0098,92.73,90.0,693.0,1.0,93.07,76.17,5.4,70.77
M1200607442,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T16:24:39+00:00,2021-12-08T18:54:34+00:00,2021.10.13 ~ 2021.12.08,3.31,47.7,20.27,100.0,0.0102,92.1,90.0,550.0,0.9,94.73,78.7,5.4,73.3
