car_id,car_type,vehicle_type,age_years,model_year,model_month,age_string,first_date,last_date,collection_period,efficiency,efficiency_score,avg_temperature,temperature_score,cell_imbalance,cell_imbalance_score,driving_habit_score,charging_count,avg_charging_amount,charging_pattern_score,weighted_avg,age_penalty,final_score
M1200607583,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-06T15:11:58+00:00,2021-12-08T22:28:43+00:00,2021.10.06 ~ 2021.12.08,1.03,40.0,19.66,100.0,0.012,87.99,90.0,1074.0,14.6,95.95,75.66,5.4,70.26
M1200607584,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-06T15:11:00+00:00,2021-12-08T21:25:07+00:00,2021.10.06 ~ 2021.12.08,0.61,40.0,16.16,100.0,0.0076,95.68,87.91,522.0,8.2,92.43,76.0,5.4,70.6
M1200607585,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-06T15:05:21+00:00,2021-12-08T23:24:47+00:00,2021.10.06 ~ 2021.12.08,0.18,40.0,12.45,100.0,0.0112,90.08,78.4,2.0,35.5,100.0,74.75,5.4,69.35
M1200607586,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-06T14:59:48+00:00,2021-12-08T23:53:45+00:00,2021.10.06 ~ 2021.12.08,0.87,40.0,18.65,100.0,0.0077,95.54,90.0,539.0,7.2,99.35,77.48,5.4,72.08
M1200607587,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:50:44+00:00,2021-12-08T23:29:37+00:00,2021.10.12 ~ 2021.12.08,0.79,40.0,15.56,100.0,0.0104,91.6,90.0,112.0,11.6,90.62,75.37,5.4,69.97
M1200607588,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:33:18+00:00,2021-12-08T23:54:43+00:00,2021.10.12 ~ 2021.12.08,1.36,40.0,19.3,100.0,0.0068,96.41,90.0,188.0,11.8,80.59,74.5,5.4,69.1
M1200607589,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-13T14:12:58+00:00,2021-12-08T23:51:48+00:00,2021.10.13 ~ 2021.12.08,1.56,40.0,18.41,100.0,0.0077,95.56,90.0,477.0,13.9,87.42,75.5,5.4,70.1
M1200607590,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-06T15:00:59+00:00,2021-11-02T05:46:08+00:00,2021.10.06 ~ 2021.11.02,0.23,40.0,17.93,100.0,0.0052,97.61,77.39,72.0,19.2,71.53,71.09,5.4,65.69
M1200607591,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:40:37+00:00,2021-12-08T22:50:04+00:00,2021.10.12 ~ 2021.12.08,3.89,47.91,22.63,100.0,0.01,92.35,74.66,159.0,1.2,100.0,77.14,5.4,71.74
M1200607592,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-13T14:50:26+00:00,2021-12-08T22:48:36+00:00,2021.10.13 ~ 2021.12.08,3.78,46.39,18.17,100.0,0.0101,92.27,72.76,209.0,1.5,100.0,76.3,5.4,70.9
M1200607593,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-06T15:13:47+00:00,2021-12-08T23:05:03+00:00,2021.10.06 ~ 2021.12.08,1.97,40.0,17.17,100.0,0.0116,89.17,79.12,252.0,1.4,99.8,74.68,5.4,69.28
M1200607595,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:28:30+00:00,2021-12-08T23:20:25+00:00,2021.10.12 ~ 2021.12.08,3.13,40.0,15.22,100.0,0.0114,89.58,76.37,90.0,0.8,95.0,73.49,5.4,68.09
M1200607597,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:45:55+00:00,2021-12-08T21:10:31+00:00,2021.10.12 ~ 2021.12.08,1.76,40.0,16.5,100.0,0.0194,53.62,90.0,596.0,26.6,97.99,70.27,5.4,64.87
M1200607598,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:10:43+00:00,2021-12-04T04:11:26+00:00,2021.10.12 ~ 2021.12.04,2.59,40.0,20.49,100.0,0.0146,79.22,76.76,156.0,3.4,96.79,72.13,5.4,66.73
M1200607600,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-13T14:17:53+00:00,2021-12-08T23:23:32+00:00,2021.10.13 ~ 2021.12.08,0.94,40.0,13.34,100.0,0.0084,94.78,90.0,234.0,7.1,94.87,76.61,5.4,71.21
M2210703601,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-13T15:18:28+00:00,2021-12-08T23:41:11+00:00,2021.10.13 ~ 2021.12.08,1.95,40.0,21.0,100.0,0.0103,91.91,73.65,167.0,6.0,97.31,73.81,5.4,68.41
M2210703602,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-06T14:58:59+00:00,2021-10-14T08:33:09+00:00,2021.10.06 ~ 2021.10.14,0.2,40.0,27.98,100.0,0.0156,75.23,77.29,34.0,36.0,100.0,72.09,5.4,66.69
M2210703603,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-06T15:00:03+00:00,2021-12-08T20:21:19+00:00,2021.10.06 ~ 2021.12.08,0.98,40.0,17.88,100.0,0.0087,94.37,88.41,640.0,10.0,96.64,76.57,5.4,71.17
M2210703604,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:42:49+00:00,2021-12-08T23:19:32+00:00,2021.10.12 ~ 2021.12.08,2.08,40.0,16.59,100.0,0.0078,95.49,72.86,96.0,5.0,97.92,74.38,5.4,68.98
M2210703605,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:04:20+00:00,2021-12-08T23:34:23+00:00,2021.10.12 ~ 2021.12.08,1.1,40.0,22.44,100.0,0.0088,94.21,90.0,91.0,10.3,91.21,75.9,5.4,70.5
M2210703606,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:17:29+00:00,2021-12-08T23:01:51+00:00,2021.10.12 ~ 2021.12.08,1.84,40.0,14.77,100.0,0.005,97.71,72.64,58.0,5.1,100.0,75.06,5.4,69.66
M2210703607,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-13T14:40:30+00:00,2021-12-08T22:54:06+00:00,2021.10.13 ~ 2021.12.08,2.54,40.0,17.19,100.0,0.017,67.71,74.12,173.0,19.1,99.71,70.26,5.4,64.86
M2210703608,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:41:02+00:00,2021-12-08T23:48:36+00:00,2021.10.12 ~ 2021.12.08,1.31,40.0,14.48,100.0,0.0076,95.71,75.2,107.0,4.7,92.52,73.91,5.4,68.51
M2210703609,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:21:12+00:00,2021-12-08T23:17:04+00:00,2021.10.12 ~ 2021.12.08,2.65,40.0,11.87,100.0,0.0267,40.0,77.67,218.0,11.1,100.0,66.28,5.4,60.88
M2210703610,Niro,소형,4.92,2021.0,1.0,2021.01,2021-11-03T16:49:48+00:00,2021-12-08T21:41:50+00:00,2021.11.03 ~ 2021.12.08,1.54,40.0,15.47,100.0,0.0084,94.77,90.0,340.0,4.1,91.03,75.97,5.4,70.57
M2210703611,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:14:31+00:00,2021-12-08T22:46:35+00:00,2021.10.12 ~ 2021.12.08,0.81,40.0,22.05,100.0,0.0062,96.96,90.0,103.0,13.6,94.17,76.86,5.4,71.46
M2210703612,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-13T14:13:31+00:00,2021-12-08T23:01:25+00:00,2021.10.13 ~ 2021.12.08,3.01,40.0,13.97,100.0,0.0086,94.51,90.0,311.0,5.7,94.53,76.51,5.4,71.11
M2210703613,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:17:07+00:00,2021-12-08T23:46:24+00:00,2021.10.12 ~ 2021.12.08,0.62,40.0,18.56,100.0,0.0238,40.0,73.87,251.0,35.8,99.8,65.61,5.4,60.21
M2210703621,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:31:42+00:00,2021-11-02T19:27:04+00:00,2021.10.12 ~ 2021.11.02,0.28,40.0,20.06,100.0,0.0115,89.28,71.73,9.0,14.0,100.0,73.5,5.4,68.1
M2210703622,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-13T14:50:33+00:00,2021-12-08T22:57:32+00:00,2021.10.13 ~ 2021.12.08,0.38,40.0,18.69,100.0,0.0093,93.54,90.0,66.0,28.8,82.58,74.35,5.4,68.95
